EEG Fraction,Folds AUC > 0.50,Folds AUC >= 0.60,Mean AUC,SD
0.1,5,3,0.6005830903790088,0.04677996642966648
0.2,5,1,0.5801384839650147,0.07783293810781076
0.3,5,1,0.5930393586005831,0.052426322566713424
0.4,5,2,0.6040816326530611,0.06404195175961881
0.5,5,3,0.6267128279883382,0.053507180688171584
0.6,5,3,0.6245991253644314,0.06278349143513245
0.7,5,3,0.645371720116618,0.06346961730299948
0.8,5,4,0.6322157434402332,0.05777282258578431
0.9,5,4,0.6353134110787172,0.04780474393464045
1.0,5,5,0.6777332361516035,0.0388655117806958
